,publishedAt,authorDisplayName,textDisplay,text_clean,normalized_text,text_token,text_stemindo,polarity_score,polarity
2095,2023-09-28T02:07:42Z,@sodikin_lo,"Pemerintah koq ikutan &quot;Latah&quot; sama amrik sih, kacian tik tok slalu jadi target 😣. Tuh umkm juga ada yg jualan via tik tok... di survey dulu dong kebenarannya.",pemerintah koq ikutan quotlatahquot sama amrik sih kacian tik tok slalu jadi target  tuh umkm juga ada yg jualan via tik tok di survey dulu dong kebenarannya,pemerintah kok ikutan quotlatahquot sama amrik sih kasihan tik tok selalu jadi target  tuh umkm juga ada yang jualan via tik tok di survey dulu dong kebenarannya,"['pemerintah', 'kok', 'ikutan', 'quotlatahquot', 'sama', 'amrik', 'sih', 'kasihan', 'tik', 'tok', 'selalu', 'jadi', 'target', 'tuh', 'umkm', 'juga', 'ada', 'yang', 'jualan', 'via', 'tik', 'tok', 'di', 'survey', 'dulu', 'dong', 'kebenarannya']",perintah kok ikut quotlatahquot sama amrik sih kasihan tik tok selalu jadi target tuh umkm juga ada yang jual via tik tok di survey dulu dong benar,7,positif
2096,2023-09-28T02:01:39Z,@ivhanbhortex8400,"setuju sekali karna saya pelaku usaha pedagang kecil, sangat berpengaruh, sekarang lihat saja di pasar pasar  sepi,",setuju sekali karna saya pelaku usaha pedagang kecil sangat berpengaruh sekarang lihat saja di pasar pasar  sepi,setuju sekali karena saya pelaku usaha pedagang kecil sangat berpengaruh sekarang lihat saja di pasar pasar  sepi,"['setuju', 'sekali', 'karena', 'saya', 'pelaku', 'usaha', 'pedagang', 'kecil', 'sangat', 'berpengaruh', 'sekarang', 'lihat', 'saja', 'di', 'pasar', 'pasar', 'sepi']",tuju sekali karena saya laku usaha dagang kecil sangat pengaruh sekarang lihat saja di pasar pasar sepi,-3,negatif
2098,2023-09-28T01:58:19Z,@israwendi8445,"Jualan online mah boleh 2 aja ,tapi jgn dijual murah gitu jatuhin harga bahkan di bawah harga grosir, emang nya kami ini yg jualan offline gak punya karyawan jg yg mesti di gaji , bayar sewaan , listrik, sampah , dll , memang seharusnya diatur biar sama2 mendapatkan keuntungan",jualan online mah boleh  aja tapi jgn dijual murah gitu jatuhin harga bahkan di bawah harga grosir emang nya kami ini yg jualan offline gak punya karyawan jg yg mesti di gaji  bayar sewaan  listrik sampah  dll  memang seharusnya diatur biar sama mendapatkan keuntungan,jualan online mah boleh  saja tapi jangan dijual murah begitu jatuhin harga bahkan di bawah harga grosir memang nya kami ini yang jualan offline enggak punya karyawan juga yang mesti di gaji  bayar sewaan  listrik sampah  dll  memang seharusnya diatur biar sama mendapatkan keuntungan,"['jualan', 'online', 'mah', 'boleh', 'saja', 'tapi', 'jangan', 'dijual', 'murah', 'begitu', 'jatuhin', 'harga', 'bahkan', 'di', 'bawah', 'harga', 'grosir', 'memang', 'nya', 'kami', 'ini', 'yang', 'jualan', 'offline', 'enggak', 'punya', 'karyawan', 'juga', 'yang', 'mesti', 'di', 'gaji', 'bayar', 'sewaan', 'listrik', 'sampah', 'dll', 'memang', 'seharusnya', 'diatur', 'biar', 'sama', 'mendapatkan', 'keuntungan']",jual online mah boleh saja tapi jangan jual murah begitu jatuhin harga bahkan di bawah harga grosir memang nya kami ini yang jual offline enggak punya karyawan juga yang mesti di gaji bayar sewa listrik sampah dll memang harus atur biar sama dapat untung,14,positif
2099,2023-09-28T01:57:07Z,@SaralonaHos-gb8yr,pemerintah semakin kelewatan mencekik rakyat trs smp mati tp hidup atau hidup tp mati...lihat Allah mahateliti,pemerintah semakin kelewatan mencekik rakyat trs smp mati tp hidup atau hidup tp matilihat allah mahateliti,pemerintah semakin kelewatan mencekik rakyat terus sampai mati tapi hidup atau hidup tapi matilihat allah mahateliti,"['pemerintah', 'semakin', 'kelewatan', 'mencekik', 'rakyat', 'terus', 'sampai', 'mati', 'tapi', 'hidup', 'atau', 'hidup', 'tapi', 'matilihat', 'allah', 'mahateliti']",perintah makin lewat cekik rakyat terus sampai mati tapi hidup atau hidup tapi matilihat allah mahateliti,19,positif
2101,2023-09-28T01:56:31Z,@tonantoni7241,"Ini yg dibanggakan pemerintah usai status negara berkembang kita jadi negara maju, padahal jelas belum layak jd negara maju dari berbagi eleman termasuk sumber daya manusia nya😡😡😡<br>Jelas kita belum siap dgn kamajuan, sekali lagi pemerintah kerjanya apa sih,pondasi sebuah negara itu jelas sumber daya manusia, perbaiki tu sistem pendidikan,",ini yg dibanggakan pemerintah usai status negara berkembang kita jadi negara maju padahal jelas belum layak jd negara maju dari berbagi eleman termasuk sumber daya manusia nyabrjelas kita belum siap dgn kamajuan sekali lagi pemerintah kerjanya apa sihpondasi sebuah negara itu jelas sumber daya manusia perbaiki tu sistem pendidikan,ini yang dibanggakan pemerintah usai status negara berkembang kita jadi negara maju padahal jelas belum layak jadi negara maju dari berbagi eleman termasuk sumber daya manusia nyabrjelas kita belum siap dengan kamajuan sekali lagi pemerintah kerjanya apa sihpondasi sebuah negara itu jelas sumber daya manusia perbaiki itu sistem pendidikan,"['ini', 'yang', 'dibanggakan', 'pemerintah', 'usai', 'status', 'negara', 'berkembang', 'kita', 'jadi', 'negara', 'maju', 'padahal', 'jelas', 'belum', 'layak', 'jadi', 'negara', 'maju', 'dari', 'berbagi', 'eleman', 'termasuk', 'sumber', 'daya', 'manusia', 'nyabrjelas', 'kita', 'belum', 'siap', 'dengan', 'kamajuan', 'sekali', 'lagi', 'pemerintah', 'kerjanya', 'apa', 'sihpondasi', 'sebuah', 'negara', 'itu', 'jelas', 'sumber', 'daya', 'manusia', 'perbaiki', 'itu', 'sistem', 'pendidikan']",ini yang bangga perintah usai status negara kembang kita jadi negara maju padahal jelas belum layak jadi negara maju dari bagi eleman masuk sumber daya manusia nyabrjelas kita belum siap dengan kamajuan sekali lagi perintah kerja apa sihpondasi buah negara itu jelas sumber daya manusia baik itu sistem didik,9,positif
2102,2023-09-28T01:55:35Z,@baheramsyah-8267,Toko toko ngeluh barang di online murah.,toko toko ngeluh barang di online murah,toko toko ngeluh barang di online murah,"['toko', 'toko', 'ngeluh', 'barang', 'di', 'online', 'murah']",toko toko ngeluh barang di online murah,-1,negatif
2103,2023-09-28T01:53:41Z,@amnes00,cuman tiktok aja? shopee gk?,cuman tiktok aja shopee gk,cuman tiktok saja shopee enggak,"['cuman', 'tiktok', 'saja', 'shopee', 'enggak']",cuman tiktok saja shopee enggak,-3,negatif
2104,2023-09-28T01:52:00Z,@Antero99,"asal higgs domino masih bisa beli cip dan memainkan game ini,hahahha",asal higgs domino masih bisa beli cip dan memainkan game inihahahha,asal higgs domino masih bisa beli cip dan memainkan game inihahahha,"['asal', 'higgs', 'domino', 'masih', 'bisa', 'beli', 'cip', 'dan', 'memainkan', 'game', 'inihahahha']",asal higgs domino masih bisa beli cip dan main game inihahahha,6,positif
2105,2023-09-28T01:51:32Z,@ondarnisstmudosion349,Bawa bawa pasar tanah abang lhoo 😅,bawa bawa pasar tanah abang lhoo ,bawa bawa pasar tanah abang loh ,"['bawa', 'bawa', 'pasar', 'tanah', 'abang', 'loh']",bawa bawa pasar tanah abang loh,2,positif
2107,2023-09-28T01:44:23Z,@wanisawaruri1666,enak di lo kasian yang oflen haha,enak di lo kasian yang oflen haha,enak di lo kasihan yang oflen haha,"['enak', 'di', 'lo', 'kasihan', 'yang', 'oflen', 'haha']",enak di lo kasihan yang oflen haha,4,positif
2108,2023-09-28T01:41:19Z,@ayahazmichannel8221,"saya juga gak setuju,tiktok shop ditutup....enakan belanja online,tinggal nunggu dirumah",saya juga gak setujutiktok shop ditutupenakan belanja onlinetinggal nunggu dirumah,saya juga enggak setujutiktok shop ditutupenakan belanja onlinetinggal menunggu dirumah,"['saya', 'juga', 'enggak', 'setujutiktok', 'shop', 'ditutupenakan', 'belanja', 'onlinetinggal', 'menunggu', 'dirumah']",saya juga enggak setujutiktok shop ditutupenakan belanja onlinetinggal tunggu rumah,3,positif
2109,2023-09-28T01:39:17Z,@CimotMitan-vt1pq,Apa cuma gua doang yg ga punya aplikasi tekotok😂😂😂,apa cuma gua doang yg ga punya aplikasi tekotok,apa cuma gua doang yang enggak punya aplikasi tekotok,"['apa', 'cuma', 'gua', 'doang', 'yang', 'enggak', 'punya', 'aplikasi', 'tekotok']",apa cuma gua doang yang enggak punya aplikasi tekotok,-14,negatif
2110,2023-09-28T01:38:27Z,@kenthus8609,"Kalo dibilangnya sih tamak ya tamak... Manusia gk ada habisnya soal nurutin nafsu apalagi soal uang. Mau udh sukses kaya apapun tetep aja gk ada puasnya. Maksud gua mah ya bagi bagilah kalo artis pada jualan lah yg jualan kali kali bisa jd artis biar adil, masa udh jd entertain masih aja kurang. Kecuali ekonomi sulit. Nah ini org yg ekonomi sulit kan jd kasian.",kalo dibilangnya sih tamak ya tamak manusia gk ada habisnya soal nurutin nafsu apalagi soal uang mau udh sukses kaya apapun tetep aja gk ada puasnya maksud gua mah ya bagi bagilah kalo artis pada jualan lah yg jualan kali kali bisa jd artis biar adil masa udh jd entertain masih aja kurang kecuali ekonomi sulit nah ini org yg ekonomi sulit kan jd kasian,kalo dibilangnya sih tamak ya tamak manusia enggak ada habisnya soal nurutin nafsu apalagi soal uang mau sudah sukses kayak apapun tetap saja enggak ada puasnya maksud gua mah ya bagi bagilah kalo artis pada jualan lah yang jualan kali kali bisa jadi artis biar adil masa sudah jadi entertain masih saja kurang kecuali ekonomi sulit nah ini orang yang ekonomi sulit kan jadi kasihan,"['kalo', 'dibilangnya', 'sih', 'tamak', 'ya', 'tamak', 'manusia', 'enggak', 'ada', 'habisnya', 'soal', 'nurutin', 'nafsu', 'apalagi', 'soal', 'uang', 'mau', 'sudah', 'sukses', 'kayak', 'apapun', 'tetap', 'saja', 'enggak', 'ada', 'puasnya', 'maksud', 'gua', 'mah', 'ya', 'bagi', 'bagilah', 'kalo', 'artis', 'pada', 'jualan', 'lah', 'yang', 'jualan', 'kali', 'kali', 'bisa', 'jadi', 'artis', 'biar', 'adil', 'masa', 'sudah', 'jadi', 'entertain', 'masih', 'saja', 'kurang', 'kecuali', 'ekonomi', 'sulit', 'nah', 'ini', 'orang', 'yang', 'ekonomi', 'sulit', 'kan', 'jadi', 'kasihan']",kalo bilang sih tamak ya tamak manusia enggak ada habis soal nurutin nafsu apalagi soal uang mau sudah sukses kayak apa tetap saja enggak ada puas maksud gua mah ya bagi bagi kalo artis pada jual lah yang jual kali kali bisa jadi artis biar adil masa sudah jadi entertain masih saja kurang kecuali ekonomi sulit nah ini orang yang ekonomi sulit kan jadi kasihan,34,positif
2112,2023-09-28T01:33:12Z,@user-uy6qx1zs5q,Ini lah Indonesia bodoh semua mau dikuasai yg kaya makin kaya yg miskin makin miskin 😅😅😅,ini lah indonesia bodoh semua mau dikuasai yg kaya makin kaya yg miskin makin miskin ,ini lah indonesia bodoh semua mau dikuasai yang kayak makin kayak yang miskin makin miskin ,"['ini', 'lah', 'indonesia', 'bodoh', 'semua', 'mau', 'dikuasai', 'yang', 'kayak', 'makin', 'kayak', 'yang', 'miskin', 'makin', 'miskin']",ini lah indonesia bodoh semua mau asai yang kayak makin kayak yang miskin makin miskin,-20,negatif
2113,2023-09-28T01:31:01Z,@nurahmad5212,"Pemerintah taunya melarang, yg perlu di larang keras itu korupsi",pemerintah taunya melarang yg perlu di larang keras itu korupsi,pemerintah taunya melarang yang perlu di larang keras itu korupsi,"['pemerintah', 'taunya', 'melarang', 'yang', 'perlu', 'di', 'larang', 'keras', 'itu', 'korupsi']",perintah tau larang yang perlu di larang keras itu korupsi,-19,negatif
2114,2023-09-28T01:30:33Z,@dewinawangwulan490,hongkong china udah di blokir dr th 2020 jd aman..,hongkong china udah di blokir dr th  jd aman,hongkong china sudah di blokir dari tahu  jadi aman,"['hongkong', 'china', 'sudah', 'di', 'blokir', 'dari', 'tahu', 'jadi', 'aman']",hongkong china sudah di blokir dari tahu jadi aman,2,positif
2115,2023-09-28T01:29:44Z,@ajopalala5912,Setuju...!!<br>Kasihan masyarakat kecil...,setujubrkasihan masyarakat kecil,setujubrkasihan masyarakat kecil,"['setujubrkasihan', 'masyarakat', 'kecil']",setujubrkasihan masyarakat kecil,-3,negatif
2116,2023-09-28T01:20:37Z,@dendayatia2965,"Sama ajalah akhirnya juga terjual  malah lebih ribet nanti tanah Abang sepi,sedang yg jual melalui tik tok,sdh saat dunia spt ini",sama ajalah akhirnya juga terjual  malah lebih ribet nanti tanah abang sepisedang yg jual melalui tik toksdh saat dunia spt ini,sama ajalah akhirnya juga terjual  malah lebih ribet nanti tanah abang sepisedang yang jual melalui tik toksdh saat dunia seperti ini,"['sama', 'ajalah', 'akhirnya', 'juga', 'terjual', 'malah', 'lebih', 'ribet', 'nanti', 'tanah', 'abang', 'sepisedang', 'yang', 'jual', 'melalui', 'tik', 'toksdh', 'saat', 'dunia', 'seperti', 'ini']",sama aja akhir juga jual malah lebih ribet nanti tanah abang sepisedang yang jual lalu tik toksdh saat dunia seperti ini,-1,negatif
2117,2023-09-28T01:18:56Z,@chocolatechesse6933,Setujuuuuuuuuuu....enak aja tenar trus jualan ..eh jalur distribusi resmi bagaimana bos....,setujuuuuuuuuuuenak aja tenar trus jualan eh jalur distribusi resmi bagaimana bos,setujuuuuuuuuuuenak saja tenar terus jualan eh jalur distribusi resmi bagaimana bos,"['setujuuuuuuuuuuenak', 'saja', 'tenar', 'terus', 'jualan', 'eh', 'jalur', 'distribusi', 'resmi', 'bagaimana', 'bos']",setujuuuuuuuuuuenak saja tenar terus jual eh jalur distribusi resmi bagaimana bos,2,positif
2118,2023-09-28T01:17:00Z,@syamsyudinnor1105,pruduk lokal mahal impor murah negara ini masih miskin,pruduk lokal mahal impor murah negara ini masih miskin,pruduk lokal mahal impor murah negara ini masih miskin,"['pruduk', 'lokal', 'mahal', 'impor', 'murah', 'negara', 'ini', 'masih', 'miskin']",pruduk lokal mahal impor murah negara ini masih miskin,-1,negatif
2119,2023-09-28T01:13:45Z,@hamdisyukria8490,"Saya setuju usulan pemerintah,,,,UMKM jalan terus,,,buat yang jualn online dibtiktok shop kan bisa alih ke Shopie atau lazada",saya setuju usulan pemerintahumkm jalan terusbuat yang jualn online dibtiktok shop kan bisa alih ke shopie atau lazada,saya setuju usulan pemerintahumkm jalan terusbuat yang jualn online dibtiktok shop kan bisa alih ke shopie atau lazada,"['saya', 'setuju', 'usulan', 'pemerintahumkm', 'jalan', 'terusbuat', 'yang', 'jualn', 'online', 'dibtiktok', 'shop', 'kan', 'bisa', 'alih', 'ke', 'shopie', 'atau', 'lazada']",saya tuju usul pemerintahumkm jalan terusbuat yang jualn online dibtiktok shop kan bisa alih ke shopie atau lazada,-3,negatif
2120,2023-09-28T01:10:06Z,@mattheustemaluru,"Tlg yg Punya content siarkan,,,/ sampaikan pesan sy ini sy sbg anak bangsa meminta kpd pemerintah supaya brg brg produk luar harus dilarang/dikurangi jgn dikuasai oleh brgbrg negara asing sehingga mematikan produk dlm negeri dan juga jgn kita selalu dikuasai oleh mrk(negara asing), sehingga UMKM bisa hidup dan lancar",tlg yg punya content siarkan sampaikan pesan sy ini sy sbg anak bangsa meminta kpd pemerintah supaya brg brg produk luar harus dilarangdikurangi jgn dikuasai oleh brgbrg negara asing sehingga mematikan produk dlm negeri dan juga jgn kita selalu dikuasai oleh mrknegara asing sehingga umkm bisa hidup dan lancar,tolong yang punya content siarkan sampaikan pesan saya ini saya sebagai anak bangsa meminta kepada pemerintah supaya bareng bareng produk luar harus dilarangdikurangi jangan dikuasai oleh brgbrg negara asing sehingga mematikan produk dalam negeri dan juga jangan kita selalu dikuasai oleh mrknegara asing sehingga umkm bisa hidup dan lancar,"['tolong', 'yang', 'punya', 'content', 'siarkan', 'sampaikan', 'pesan', 'saya', 'ini', 'saya', 'sebagai', 'anak', 'bangsa', 'meminta', 'kepada', 'pemerintah', 'supaya', 'bareng', 'bareng', 'produk', 'luar', 'harus', 'dilarangdikurangi', 'jangan', 'dikuasai', 'oleh', 'brgbrg', 'negara', 'asing', 'sehingga', 'mematikan', 'produk', 'dalam', 'negeri', 'dan', 'juga', 'jangan', 'kita', 'selalu', 'dikuasai', 'oleh', 'mrknegara', 'asing', 'sehingga', 'umkm', 'bisa', 'hidup', 'dan', 'lancar']",tolong yang punya content siar sampai pesan saya ini saya bagai anak bangsa minta kepada perintah supaya bareng bareng produk luar harus dilarangdikurangi jangan asai oleh brgbrg negara asing sehingga mati produk dalam negeri dan juga jangan kita selalu asai oleh mrknegara asing sehingga umkm bisa hidup dan lancar,9,positif
2121,2023-09-28T01:09:09Z,@user-tg9xz2op8z,ada nya penutupan onlene ini akan membantu Padang kedai toko toko sya stuju di tutup penjualan di onlene di yutub juga banyak tuh jual onlene tindak juga donk pemerintah,ada nya penutupan onlene ini akan membantu padang kedai toko toko sya stuju di tutup penjualan di onlene di yutub juga banyak tuh jual onlene tindak juga donk pemerintah,ada nya penutupan onlene ini akan membantu padang kedai toko toko saya setuju di tutup penjualan di onlene di yutub juga banyak tuh jual onlene tindak juga dong pemerintah,"['ada', 'nya', 'penutupan', 'onlene', 'ini', 'akan', 'membantu', 'padang', 'kedai', 'toko', 'toko', 'saya', 'setuju', 'di', 'tutup', 'penjualan', 'di', 'onlene', 'di', 'yutub', 'juga', 'banyak', 'tuh', 'jual', 'onlene', 'tindak', 'juga', 'dong', 'pemerintah']",ada nya tutup onlene ini akan bantu padang kedai toko toko saya tuju di tutup jual di onlene di yutub juga banyak tuh jual onlene tindak juga dong perintah,8,positif
2122,2023-09-28T01:02:42Z,@mattheustemaluru,"Bila perlu dihapuskan tiktok  flamfort,sebab membuat efek samping yg begitu luas salam hormat anak bangsa merdeka",bila perlu dihapuskan tiktok  flamfortsebab membuat efek samping yg begitu luas salam hormat anak bangsa merdeka,bila perlu dihapuskan tiktok  flamfortsebab membuat efek samping yang begitu luas salam hormat anak bangsa merdeka,"['bila', 'perlu', 'dihapuskan', 'tiktok', 'flamfortsebab', 'membuat', 'efek', 'samping', 'yang', 'begitu', 'luas', 'salam', 'hormat', 'anak', 'bangsa', 'merdeka']",bila perlu hapus tiktok flamfortsebab buat efek samping yang begitu luas salam hormat anak bangsa merdeka,-6,negatif
2123,2023-09-28T01:02:37Z,@PemburuBerkahLangit,Aneh ... kayak udah bisa mensejahterakan rakyat aja. Biarkan rakyat cari makan sendiri pak,aneh  kayak udah bisa mensejahterakan rakyat aja biarkan rakyat cari makan sendiri pak,aneh  kayak sudah bisa mensejahterakan rakyat saja biarkan rakyat cari makan sendiri pak,"['aneh', 'kayak', 'sudah', 'bisa', 'mensejahterakan', 'rakyat', 'saja', 'biarkan', 'rakyat', 'cari', 'makan', 'sendiri', 'pak']",aneh kayak sudah bisa sejahtera rakyat saja biar rakyat cari makan sendiri pak,-3,negatif
2124,2023-09-28T01:02:36Z,@gwkepretlu5895,YG SEBELAH KIRI MAU DONK NO HP NYA,yg sebelah kiri mau donk no hp nya,yang sebelah kiri mau dong no hp nya,"['yang', 'sebelah', 'kiri', 'mau', 'dong', 'no', 'hp', 'nya']",yang belah kiri mau dong no hp nya,-8,negatif
2125,2023-09-28T01:01:46Z,@kusnadiapendi2198,Kali ini saya dukung menteri perdagangan bertujuan ingin menghidupkan kembali UMKM di Indonesia yg lagi terpuruk,kali ini saya dukung menteri perdagangan bertujuan ingin menghidupkan kembali umkm di indonesia yg lagi terpuruk,kali ini saya dukung menteri perdagangan bertujuan ingin menghidupkan kembali umkm di indonesia yang lagi terpuruk,"['kali', 'ini', 'saya', 'dukung', 'menteri', 'perdagangan', 'bertujuan', 'ingin', 'menghidupkan', 'kembali', 'umkm', 'di', 'indonesia', 'yang', 'lagi', 'terpuruk']",kali ini saya dukung menteri dagang tuju ingin hidup kembali umkm di indonesia yang lagi puruk,-2,negatif
2126,2023-09-28T01:00:56Z,@Edih-qk9ew,"Cari yg murah,,,mudah,,,dan kwalitas,,,,itu yg di cari konsumen 😂😂😂",cari yg murahmudahdan kwalitasitu yg di cari konsumen ,cari yang murahmudahdan kwalitasitu yang di cari konsumen ,"['cari', 'yang', 'murahmudahdan', 'kwalitasitu', 'yang', 'di', 'cari', 'konsumen']",cari yang murahmudahdan kwalitasitu yang di cari konsumen,-16,negatif
2127,2023-09-28T00:59:48Z,@nengadit116,"sya setuju di larang ,hidupkan.lg psr 2 Dan pusat perbelanjaan... lg pula sya suka blnja di psr2 bkn.di online",sya setuju di larang hidupkanlg psr  dan pusat perbelanjaan lg pula sya suka blnja di psr bkndi online,saya setuju di larang hidupkanlg psr  dan pusat perbelanjaan lagi pula saya suka belanja di psr bkndi online,"['saya', 'setuju', 'di', 'larang', 'hidupkanlg', 'psr', 'dan', 'pusat', 'perbelanjaan', 'lagi', 'pula', 'saya', 'suka', 'belanja', 'di', 'psr', 'bkndi', 'online']",saya tuju di larang hidupkanlg psr dan pusat belanja lagi pula saya suka belanja di psr bkndi online,1,positif
2128,2023-09-28T00:55:30Z,@marthenbidang3592,Harus ada regulasi yang jelas. Jangan matikan produksi anak    Indonesia...,harus ada regulasi yang jelas jangan matikan produksi anak    indonesia,harus ada regulasi yang jelas jangan matikan produksi anak    indonesia,"['harus', 'ada', 'regulasi', 'yang', 'jelas', 'jangan', 'matikan', 'produksi', 'anak', 'indonesia']",harus ada regulasi yang jelas jangan mati produksi anak indonesia,-7,negatif
2129,2023-09-28T00:53:47Z,@jebe1705,Itu kamu yang Laen pikirin yang Laen dong...,itu kamu yang laen pikirin yang laen dong,itu kamu yang lain pikirin yang lain dong,"['itu', 'kamu', 'yang', 'lain', 'pikirin', 'yang', 'lain', 'dong']",itu kamu yang lain pikirin yang lain dong,-20,negatif
2130,2023-09-28T00:53:25Z,@sugianto7178,julkifli   kan pendukung prabowo,julkifli   kan pendukung prabowo,julkifli   kan pendukung prabowo,"['julkifli', 'kan', 'pendukung', 'prabowo']",julkifli kan dukung prabowo,4,positif
2131,2023-09-28T00:49:49Z,@KajiRofiq,Coba saja tunggu seminggu lagi apa benar keputusannya..? Akan tetap sepi pasar tanah abang... Masalahnya daya beli masyarakat menurun,coba saja tunggu seminggu lagi apa benar keputusannya akan tetap sepi pasar tanah abang masalahnya daya beli masyarakat menurun,coba saja tunggu seminggu lagi apa benar keputusannya akan tetap sepi pasar tanah abang masalahnya daya beli masyarakat menurun,"['coba', 'saja', 'tunggu', 'seminggu', 'lagi', 'apa', 'benar', 'keputusannya', 'akan', 'tetap', 'sepi', 'pasar', 'tanah', 'abang', 'masalahnya', 'daya', 'beli', 'masyarakat', 'menurun']",coba saja tunggu minggu lagi apa benar putus akan tetap sepi pasar tanah abang masalah daya beli masyarakat turun,-2,negatif
2132,2023-09-28T00:43:35Z,@triyonotm1triyonotm173,pasar ilang swarane.... (joyoboyo),pasar ilang swarane joyoboyo,pasar hilang swarane joyoboyo,"['pasar', 'hilang', 'swarane', 'joyoboyo']",pasar hilang swarane joyoboyo,3,positif
2133,2023-09-28T00:40:47Z,@triyonotm1triyonotm173,masukk... rakyat mendukung,masukk rakyat mendukung,masukk rakyat mendukung,"['masukk', 'rakyat', 'mendukung']",masukk rakyat dukung,4,positif
2134,2023-09-28T00:37:21Z,@BatinHarun,Itu nama nya mematikan usaha orang.apa lagi orang2 pemula berusaha lewat elektronik yg beli jua orang2.,itu nama nya mematikan usaha orangapa lagi orang pemula berusaha lewat elektronik yg beli jua orang,itu nama nya mematikan usaha orangapa lagi orang pemula berusaha lewat elektronik yang beli jua orang,"['itu', 'nama', 'nya', 'mematikan', 'usaha', 'orangapa', 'lagi', 'orang', 'pemula', 'berusaha', 'lewat', 'elektronik', 'yang', 'beli', 'jua', 'orang']",itu nama nya mati usaha orangapa lagi orang mula usaha lewat elektronik yang beli jua orang,-3,negatif
2135,2023-09-28T00:35:31Z,@bagussamatra6756,Tanah abang sepi solusinya tiktok ditutup? Jaka Sembung ke sekolah-Gak Nyambung Lah.,tanah abang sepi solusinya tiktok ditutup jaka sembung ke sekolahgak nyambung lah,tanah abang sepi solusinya tiktok ditutup jaka sembung ke sekolahgak menyambung lah,"['tanah', 'abang', 'sepi', 'solusinya', 'tiktok', 'ditutup', 'jaka', 'sembung', 'ke', 'sekolahgak', 'menyambung', 'lah']",tanah abang sepi solusi tiktok tutup jaka sembung ke sekolahgak sambung lah,-5,negatif
2136,2023-09-28T00:33:15Z,@sriendang-ib1kx,Persaingan bisnis seharusnya pemerintah tidak usah ikut campur ini sama dengan memutus rejeki orang biarkan aja masing masing orang cari rejeki,persaingan bisnis seharusnya pemerintah tidak usah ikut campur ini sama dengan memutus rejeki orang biarkan aja masing masing orang cari rejeki,persaingan bisnis seharusnya pemerintah tidak usah ikut campur ini sama dengan memutus rejeki orang biarkan saja masing masing orang cari rejeki,"['persaingan', 'bisnis', 'seharusnya', 'pemerintah', 'tidak', 'usah', 'ikut', 'campur', 'ini', 'sama', 'dengan', 'memutus', 'rejeki', 'orang', 'biarkan', 'saja', 'masing', 'masing', 'orang', 'cari', 'rejeki']",saing bisnis harus perintah tidak usah ikut campur ini sama dengan putus rejeki orang biar saja masing masing orang cari rejeki,-1,negatif
2137,2023-09-29T00:09:29Z,@anggrek8812,Komen aneh,komen aneh,komen aneh,"['komen', 'aneh']",komen aneh,4,positif
2138,2023-09-29T00:09:58Z,@anggrek8812,"Coba di dalami dlu say, sebab akibat",coba di dalami dlu say sebab akibat,coba di dalami dulu sayang sebab akibat,"['coba', 'di', 'dalami', 'dulu', 'sayang', 'sebab', 'akibat']",coba di dalam dulu sayang sebab akibat,12,positif
2139,2023-09-28T00:25:30Z,@ahmadinejadbkn4197,Bodoh<br>Iklan boleh jualan gak boleh <br>Artinya jaka sembung bawa golok gak nyambung mbeeek,bodohbriklan boleh jualan gak boleh brartinya jaka sembung bawa golok gak nyambung mbeeek,bodohbriklan boleh jualan enggak boleh brartinya jaka sembung bawa golok enggak menyambung mbeeek,"['bodohbriklan', 'boleh', 'jualan', 'enggak', 'boleh', 'brartinya', 'jaka', 'sembung', 'bawa', 'golok', 'enggak', 'menyambung', 'mbeeek']",bodohbriklan boleh jual enggak boleh brartinya jaka sembung bawa golok enggak sambung mbeeek,3,positif
2141,2023-09-28T00:14:24Z,@foreverleslar3340,Banyak yang iri ga mampu bersaing itulah kita jadi org harus kurang2i sifat iri,banyak yang iri ga mampu bersaing itulah kita jadi org harus kurangi sifat iri,banyak yang iri enggak mampu bersaing itulah kita jadi orang harus kurangi sifat iri,"['banyak', 'yang', 'iri', 'enggak', 'mampu', 'bersaing', 'itulah', 'kita', 'jadi', 'orang', 'harus', 'kurangi', 'sifat', 'iri']",banyak yang iri enggak mampu saing itu kita jadi orang harus kurang sifat iri,-19,negatif
2142,2023-09-28T00:11:44Z,@agussulistyawan5769,Setuju bosku,setuju bosku,setuju bosku,"['setuju', 'bosku']",tuju bos,6,positif
2143,2023-09-28T00:06:30Z,@mangdangsu,tutup aja tiktok produk china,tutup aja tiktok produk china,tutup saja tiktok produk china,"['tutup', 'saja', 'tiktok', 'produk', 'china']",tutup saja tiktok produk china,-2,negatif
2144,2023-09-27T23:59:10Z,@kutoarjo6170,di fb itu bnyak sekali penipuan jualn murah online,di fb itu bnyak sekali penipuan jualn murah online,di fb itu banyak sekali penipuan jualn murah online,"['di', 'fb', 'itu', 'banyak', 'sekali', 'penipuan', 'jualn', 'murah', 'online']",di fb itu banyak sekali tipu jualn murah online,3,positif
2145,2023-09-27T23:58:26Z,@felinwidya9122,Terlambat ...pak,terlambat pak,terlambat pak,"['terlambat', 'pak']",lambat pak,1,positif
